meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,2.17,2.17,2.17,2.27,2.17,2.29,3.3,3.26,3.3,3.1,3.1,3.1,3.1,3.1,3.1,ChangeInsulationRValueForExteriorWalls,r_value,3.3,3.3,3.3,3.3,3.3,3.3,3.44,3.3,3.53,4.23,4.03,4.72,4.72,5.18,5.82,ChangeInsulationRValueForExteriorWalls,r_value,2.17,2.17,2.17,2.27,2.17,2.29,3.44,3.26,3.53,4.23,4.03,4.72,4.72,5.18,5.82,3
ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,10.6,10.6,10.6,10.6,10.6,10.6,ChangeInsulationRValueForRoofs,r_value_roof,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,12.77,12.03,15.53,15.53,15.53,15.53,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.65,0.65,0.65,0.65,0.65,0.65,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
SetGasBurnerEfficiency,eff,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,3
ReplaceLightsInSpaceTypeWithLPD,lpd,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,ReplaceLightsInSpaceTypeWithLPD,lpd,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,ReplaceLightsInSpaceTypeWithLPD,lpd,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,2
ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,-73.5632,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,88.50575,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
